Virus.name,District,Accession.number,Collection.date
hCoV-19/India/GBRC211/2020,Surat,EPI_ISL_475041,11/06/2020
hCoV-19/India/GBRC212/2020,Surat,EPI_ISL_475042,11/06/2020
hCoV-19/India/GJ-GBRC1/2020,XX,EPI_ISL_426414,05/04/2020
hCoV-19/India/GJ-GBRC10/2020,Surat,EPI_ISL_437438,24/04/2020
hCoV-19/India/GJ-GBRC100/2020,Kodinar,EPI_ISL_450789,10/05/2020
hCoV-19/India/GJ-GBRC101/2020,Rajkot,EPI_ISL_450790,28/04/2020
hCoV-19/India/GJ-GBRC102/2020,Rajkot,EPI_ISL_450791,27/04/2020
hCoV-19/India/GJ-GBRC103/2020,Jamnagar,EPI_ISL_451666,04/05/2020
hCoV-19/India/GJ-GBRC104/2020,Jamnagar,EPI_ISL_451149,07/05/2020
hCoV-19/India/GJ-GBRC105/2020,Jamnagar,EPI_ISL_451150,06/05/2020
hCoV-19/India/GJ-GBRC106/2020,Jamnagar,EPI_ISL_451151,05/05/2020
hCoV-19/India/GJ-GBRC107/2020,Jamnagar,EPI_ISL_451152,09/05/2020
hCoV-19/India/GJ-GBRC108/2020,Jamnagar,EPI_ISL_451153,10/05/2020
hCoV-19/India/GJ-GBRC109/2020,Dahod,EPI_ISL_451154,03/05/2020
hCoV-19/India/GJ-GBRC11/2020,Surat,EPI_ISL_437439,23/04/2020
hCoV-19/India/GJ-GBRC110/2020,Vadodara,EPI_ISL_451155,03/05/2020
hCoV-19/India/GJ-GBRC111/2020,Dahod,EPI_ISL_451156,01/05/2020
hCoV-19/India/GJ-GBRC112/2020,Vadodara,EPI_ISL_451157,02/05/2020
hCoV-19/India/GJ-GBRC113/2020,Vadodara,EPI_ISL_451158,03/05/2020
hCoV-19/India/GJ-GBRC114/2020,Dahod,EPI_ISL_451159,03/05/2020
hCoV-19/India/GJ-GBRC115/2020,Vadodara,EPI_ISL_451160,03/05/2020
hCoV-19/India/GJ-GBRC116/2020,Dahod,EPI_ISL_451161,03/05/2020
hCoV-19/India/GJ-GBRC117/2020,Vadodara,EPI_ISL_451162,03/05/2020
hCoV-19/India/GJ-GBRC118/2020,Vadodara,EPI_ISL_451163,02/05/2020
hCoV-19/India/GJ-GBRC119/2020,Rajkot,EPI_ISL_455016,27/04/2020
hCoV-19/India/GJ-GBRC12/2020,Surat,EPI_ISL_437440,26/04/2020
hCoV-19/India/GJ-GBRC120/2020,Vadodara,EPI_ISL_455017,02/05/2020
hCoV-19/India/GJ-GBRC121/2020,Vadodara,EPI_ISL_455018,02/05/2020
hCoV-19/India/GJ-GBRC122/2020,Vadodara,EPI_ISL_455019,02/05/2020
hCoV-19/India/GJ-GBRC123/2020,Vadodara,EPI_ISL_455020,02/05/2020
hCoV-19/India/GJ-GBRC124/2020,Vadodara,EPI_ISL_455021,02/05/2020
hCoV-19/India/GJ-GBRC125/2020,Vadodara,EPI_ISL_455022,02/05/2020
hCoV-19/India/GJ-GBRC126/2020,Vadodara,EPI_ISL_455023,02/05/2020
hCoV-19/India/GJ-GBRC127/2020,Vadodara,EPI_ISL_455024,02/05/2020
hCoV-19/India/GJ-GBRC128/2020,Vadodara,EPI_ISL_455025,02/05/2020
hCoV-19/India/GJ-GBRC129/2020,Vadodara,EPI_ISL_455026,02/05/2020
hCoV-19/India/GJ-GBRC13/2020,Surat,EPI_ISL_437441,26/04/2020
hCoV-19/India/GJ-GBRC130/2020,Vadodara,EPI_ISL_455027,02/05/2020
hCoV-19/India/GJ-GBRC131/2020,Ahmedabad,EPI_ISL_458086,24/05/2020
hCoV-19/India/GJ-GBRC132/2020,Ahmedabad,EPI_ISL_458087,24/05/2020
hCoV-19/India/GJ-GBRC133/2020,Ahmedabad,EPI_ISL_458088,24/05/2020
hCoV-19/India/GJ-GBRC134/2020,Ahmedabad,EPI_ISL_458089,24/05/2020
hCoV-19/India/GJ-GBRC135a/2020,Ahmedabad,EPI_ISL_458090,24/05/2020
hCoV-19/India/GJ-GBRC136a/2020,Ahmedabad,EPI_ISL_458092,24/05/2020
